이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
티볼리  가솔린   VX,차량번호 61가0353,17,27100.0,가솔린,1597.0,흰색,만료,10800000,53,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,36,0.01717371326007124
티볼리  가솔린   VX,차량번호 66어0385,17,99097.0,가솔린,1597.0,빨간색,만료,7500000,37,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,3.0,"2,298,395",0.0,0,36,0.01717371326007124
티볼리  가솔린  VX,차량번호 20구6994,16,165000.0,가솔린,1597.0,흰색,만료,5300000,26,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,2.0,"1,865,063",3.0,"2,206,988",36,0.01717371326007124
티볼리   가솔린  VX   ,차량번호 24수0211,17,134250.0,가솔린,1597.0,검정색,불가,7990000,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,36,0.01717371326007124
티볼리   가솔린  VX   ,차량번호 24수0211,17,134250.0,가솔린,1597.0,검정색,불가,7990000,40,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,36,0.01717371326007124
티볼리  가솔린  TX,차량번호 35너9827,16,218449.0,가솔린,1597.0,흰색,만료,3990000,22,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,2.0,"1,695,800",1.0,"464,308",36,0.01421757540211658
티볼리 아머  가솔린   VX,차량번호 05나7172,19,28749.0,가솔린,1597.0,청색,만료,13400000,67,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,"268,309",2.0,"1,005,760",36,0.013775571864255803
티볼리 아머  가솔린   기어 에디션,차량번호 173서9134,21,49000.0,가솔린,1497.0,남색,"60개월 / 100,000km",14500000,66,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"2,760,230",0.0,0,36,0.01221244876174783
티볼리 아머   가솔린  TX   ,차량번호 23도8212,20,46242.0,가솔린,1597.0,갈색,불가,12990000,72,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,36,0.011839826929499824
벨로스터 N   터보 퍼포먼스팩,차량번호 38라0415,20,38381.0,가솔린,1998.0,하늘색,정보없음,20500000,,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"1,078,230",1.0,"1,324,618",37,0.02183331212304951
벨로스터 N  터보 퍼포먼스팩,차량번호 113거8159,21,47837.0,가솔린,1998.0,흰색,정보없음,24900000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,37,0.02183331212304951
벨로스터 N  터보 퍼포먼스팩,차량번호 172구6397,21,19245.0,가솔린,1998.0,하늘색,정보없음,26000000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,37,0.02183331212304951
벨로스터 N  터보 퍼포먼스팩,차량번호 127다6791,21,46558.0,가솔린,1998.0,흰색,정보없음,24900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,37,0.02183331212304951
벨로스터 N   터보 퍼포먼스팩   ,차량번호 01더5801,20,61787.0,가솔린,1998.0,흰색,정보없음,15500000,,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,3.0,"1,499,318",1.0,"1,088,475",37,0.02183331212304951
벨로스터 N   터보 퍼포먼스팩   ,차량번호 322소3210,21,35000.0,가솔린,1998.0,빨간색,정보없음,24400000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,37,0.02183331212304951
벨로스터 N   터보 퍼포먼스팩   ,차량번호 322소3210,21,35000.0,가솔린,1998.0,빨간색,정보없음,24400000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,37,0.02183331212304951
미니 쿠퍼 3세대   5도어 클래식   ,차량번호 131나2114,22,28000.0,가솔린,1499.0,청색,만료,23900000,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,38,0.00598405036309394
